,PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
421,332,3342,110,CEPAD,Y,,,,4042.0,AP
422,332,3342,111,CEPAN,N,,,,4042.0,North America
423,332,3342,111,CEPAN,N,,,,4042.0,LA
424,332,3342,111,CEPAN,N,,,,4042.0,EMEA
425,332,3342,111,CEPAN,N,,,,4042.0,AP
426,332,3342,112,ELINCS,U,,,,4042.0,EMEA
427,332,3342,112,ELINCS,U,,,,4042.0,LA
428,332,3342,112,ELINCS,U,,,,4042.0,North America
429,332,3342,112,ELINCS,U,,,,4042.0,AP
430,332,3342,113,EINECS,Y,,,,4042.0,EMEA
431,332,3342,113,EINECS,Y,,,,4042.0,LA
432,332,3342,113,EINECS,Y,,,,4042.0,North America
433,332,3342,113,EINECS,Y,,,,4042.0,AP
434,332,3342,114,KKDIK,U,,,,4042.0,North America
435,332,3342,114,KKDIK,U,,,,4042.0,LA
436,332,3342,114,KKDIK,U,,,,4042.0,EMEA
437,332,3342,114,KKDIK,U,,,,4042.0,AP
438,332,3342,116,ENCS,U,,,,4042.0,North America
439,332,3342,116,ENCS,U,,,,4042.0,LA
440,332,3342,116,ENCS,U,,,,4042.0,EMEA
441,332,3342,116,ENCS,U,,,,4042.0,AP
442,334,3365,90,MSDS,Y,,,,4103.0,EMEA
443,334,3365,90,MSDS,Y,,,,4103.0,LA
444,334,3365,90,MSDS,Y,,,,4103.0,North America
445,334,3365,90,MSDS,Y,,,,4103.0,AP
