,AP_PGM_ID,PGM_ID,REGION_FOR_SOS_APPROVAL,PROH_PLANT_NAME
1339,3441,3441,NA,
1340,3601,3601,NA,
1341,3647,3647,,
1342,3683,3683,EMEA,Luxembourg
1343,3684,3684,EMEA,Luxembourg
1344,3685,3685,EMEA,Luxembourg
1345,3687,3687,EMEA,Luxembourg
1346,3688,3688,EMEA,Hanau
1347,3689,3689,EMEA,Hanau
1348,3690,3690,EMEA,Wittlich
1349,3695,3695,EMEA,Hanau
1350,3698,3698,EMEA,Wittlich
1351,3701,3701,EMEA,Wittlich
1352,3702,3702,,
1353,3703,3703,EMEA,Wittlich
1354,3704,3704,EMEA,Wittlich
1355,3741,3741,EMEA,
1356,3744,3744,LA,Colombia
1357,3746,3746,EMEA,Hanau
1358,3801,3801,NA,
1359,3841,3841,LA,
1360,3861,3861,NA,
1361,3861,3861,LA,
1362,3861,3861,EMEA,
1363,3861,3861,AP,
1364,3882,3882,EMEA,
1365,3882,3882,AP,Dalian
1366,3883,3883,EMEA,
1367,3883,3883,AP,
1368,3884,3884,EMEA,Fulda
1369,3884,3884,AP,
1370,3885,3885,EMEA,
1371,3885,3885,AP,
1372,3886,3886,EMEA,
1373,3886,3886,AP,Aurangabad
1374,3887,3887,EMEA,
1375,3887,3887,AP,
1376,3888,3888,EMEA,Wittlich
1377,3890,3890,AP,
1378,2383,2383,NA,
1379,2383,2383,LA,
1380,2383,2383,EMEA,
1381,2383,2383,AP,
1382,2384,2384,NA,
1383,2384,2384,LA,
1384,2384,2384,EMEA,
1385,2384,2384,AP,
1386,2385,2385,NA,
1387,2385,2385,LA,
1388,2385,2385,EMEA,
1389,2385,2385,AP,
1390,2391,2391,NA,
1391,2391,2391,LA,
1392,2391,2391,EMEA,
1393,2391,2391,AP,
1394,2402,2402,NA,
1395,2403,2403,AP,
1396,2424,2424,NA,
1397,2424,2424,LA,
1398,2424,2424,EMEA,
1399,2424,2424,AP,
1400,2462,2462,,
1401,2583,2583,,
1402,2602,2602,,
1403,2603,2603,NA,
1404,2603,2603,LA,
1405,2603,2603,EMEA,Hanau
1406,2603,2603,AP,
1407,2621,2621,NA,
1408,2621,2621,LA,
1409,2621,2621,EMEA,
1410,2621,2621,AP,
1411,2661,2661,NA,
1412,2723,2723,NA,
1413,2723,2723,LA,
1414,2723,2723,EMEA,
1415,2723,2723,AP,
1416,2741,2741,,
1417,2784,2784,NA,
1418,2784,2784,LA,
1419,2784,2784,EMEA,
1420,2784,2784,AP,
1421,2802,2802,NA,
1422,2866,2866,NA,
1423,2866,2866,LA,
1424,2866,2866,EMEA,
1425,2866,2866,AP,
1426,2885,2885,EMEA,Debica
1427,2901,2901,NA,
1428,2901,2901,LA,
1429,2901,2901,EMEA,
1430,2901,2901,AP,
1431,2903,2903,NA,
1432,2904,2904,NA,
1433,2907,2907,NA,
1434,2943,2943,NA,
1435,2981,2981,LA,
1436,2984,2984,NA,
1437,3022,3022,NA,
1438,3102,3102,NA,
1439,3102,3102,LA,
1440,3102,3102,EMEA,
1441,3102,3102,AP,
1442,3142,3142,NA,
1443,3181,3181,EMEA,
1444,3203,3203,AP,
1445,3205,3205,NA,
1446,3212,3212,NA,
1447,3221,3221,NA,
1448,3221,3221,LA,
1449,3221,3221,EMEA,
1450,3221,3221,AP,
1451,3241,3241,NA,
1452,3241,3241,LA,
1453,3241,3241,EMEA,
1454,3241,3241,AP,
1455,3461,3461,EMEA,Adapazari
1456,3482,3482,EMEA,Sava
1457,3522,3522,EMEA,Wolverhampton
1458,2363,2363,NA,
1459,2363,2363,LA,
1460,2363,2363,EMEA,
1461,2363,2363,AP,
1462,2701,2701,EMEA,
1463,2721,2721,NA,
1464,2721,2721,LA,
1465,2721,2721,EMEA,
1466,2721,2721,AP,
1467,2724,2724,LA,Sao Paulo
1468,2743,2743,,
1469,2881,2881,,
1470,2884,2884,NA,
1471,2941,2941,NA,
1472,2941,2941,LA,
1473,2941,2941,EMEA,Fuerstenwalde
1474,2941,2941,AP,
1475,2983,2983,AP,
1476,3045,3045,,
1477,3047,3047,,
1478,3049,3049,,
1479,3051,3051,,
1480,3161,3161,EMEA,
1481,3302,3302,,
1482,3501,3501,NA,
1483,3501,3501,LA,
1484,3502,3502,NA,
1485,3502,3502,LA,
1486,3502,3502,EMEA,
1487,3502,3502,AP,
1488,3504,3504,NA,
1489,3504,3504,LA,
1490,3504,3504,EMEA,
1491,3504,3504,AP,
1492,3505,3505,NA,
1493,3507,3507,NA,
1494,3508,3508,NA,
1495,3561,3561,EMEA,
1496,3562,3562,NA,
1497,3621,3621,NA,
1498,3621,3621,LA,
1499,3621,3621,EMEA,
1500,3621,3621,AP,
1501,3622,3622,NA,
1502,3622,3622,LA,
1503,3622,3622,EMEA,
1504,3622,3622,AP,
1505,3623,3623,NA,
1506,3623,3623,LA,
1507,3623,3623,EMEA,
1508,3623,3623,AP,
1509,3649,3649,NA,Chem Houston
1510,3662,3662,,
1511,3666,3666,,
1512,3677,3677,EMEA,Montlucon
1513,3679,3679,EMEA,Luxembourg
1514,3682,3682,NA,
1515,3682,3682,LA,
1516,3682,3682,EMEA,
1517,3682,3682,AP,
1518,3691,3691,EMEA,Hanau
1519,3692,3692,EMEA,Hanau
1520,3693,3693,EMEA,Hanau
1521,3694,3694,EMEA,Hanau
1522,3696,3696,EMEA,Hanau
1523,3697,3697,EMEA,Wittlich
1524,3705,3705,NA,
1525,3705,3705,LA,
1526,3705,3705,EMEA,
1527,3705,3705,AP,
1528,3721,3721,NA,
