PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROH_PLANT_NAME,REGION_NAME,MEASURE_CMNTS,CODE_DESC
282,5741,110,CEPAD,U,,EMEA,,European Inventory of Existing Commercial Chemical
282,5741,110,CEPAD,U,,LA,,European Inventory of Existing Commercial Chemical
282,5741,110,CEPAD,U,,AP,,European Inventory of Existing Commercial Chemical
282,5741,111,CEPAN,U,,EMEA,,European REACH
282,5741,111,CEPAN,U,,LA,,European REACH
282,5741,111,CEPAN,U,,North America,,European REACH
282,5741,111,CEPAN,U,,AP,,European REACH
282,5741,112,ELINCS,U,,EMEA,,Australian Inventory of chemical Substances
282,5741,112,ELINCS,U,,LA,,Australian Inventory of chemical Substances
282,5741,112,ELINCS,U,,North America,,Australian Inventory of chemical Substances
282,5741,112,ELINCS,U,,AP,,Australian Inventory of chemical Substances
282,5741,113,EINECS,U,,EMEA,,Japanese Existing and New Chemical substances
282,5741,113,EINECS,U,,LA,,Japanese Existing and New Chemical substances
282,5741,113,EINECS,U,,North America,,Japanese Existing and New Chemical substances
282,5741,113,EINECS,U,,AP,,Japanese Existing and New Chemical substances
282,5741,114,KKDIK,U,,North America,,Korean Existing Chemicals Inventory
282,5741,114,KKDIK,U,,LA,,Korean Existing Chemicals Inventory
282,5741,114,KKDIK,U,,EMEA,,Korean Existing Chemicals Inventory
282,5741,114,KKDIK,U,,AP,,Korean Existing Chemicals Inventory
282,5741,116,ENCS,U,,North America,,Taiwan Existing and New Chemical Notification
282,5741,116,ENCS,U,,LA,,Taiwan Existing and New Chemical Notification
282,5741,116,ENCS,U,,EMEA,,Taiwan Existing and New Chemical Notification
